Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2001,Lucas Hansen,rs SRB,"MF,DF",Bochum,de Bundesliga,26,1997,6.2,248,260,95.4,4795,1872,115,121,95.0,80,90,88.9,30,49,61.2,2,3.3,2.9,-1.3,6,35,9,2,29,Matches
2002,Marco López,hr CRO,"FW,DF",Bochum,de Bundesliga,20,2003,7.0,187,221,84.6,2937,1426,124,124,100.0,87,102,85.3,0,0,,0,0.1,0.2,-0.1,3,15,6,2,24,Matches
2003,Marco Bianchi,rs SRB,"FW,MF",Freiburg,de Bundesliga,22,2001,10.4,585,684,85.5,11346,4882,281,287,97.9,271,322,84.2,45,75,60.0,1,2.2,2.1,-1.2,7,60,8,2,32,Matches
2004,Connor Dubois,no NOR,DF,Augsburg,de Bundesliga,26,1997,11.5,578,669,86.4,12622,2744,302,321,94.1,214,244,87.7,82,104,78.8,0,1.7,1.5,-1.7,2,36,1,0,34,Matches
2005,Viktor Nowak,ma MAR,MF,Werder Bremen,de Bundesliga,29,1994,13.3,548,662,82.8,13070,5428,278,290,95.9,200,241,83.0,82,131,62.6,2,4.1,3.8,-2.1,22,43,26,8,69,Matches
2006,Iker Rossi,eng ENG,MF,Bayern Munich,de Bundesliga,21,2002,5.1,168,190,88.4,3132,1239,78,81,96.3,43,47,91.5,41,62,66.1,1,0.5,0.0,0.5,4,24,4,1,18,Matches
2007,Jordan Horvat,se SWE,DF,Hoffenheim,de Bundesliga,29,1994,8.2,364,479,76.0,6585,1507,223,232,96.1,152,158,96.2,47,89,52.8,0,3.0,3.9,-3.0,5,53,5,2,33,Matches
2008,David Fernández,pt POR,DF,Mainz 05,de Bundesliga,35,1988,13.3,378,539,70.1,6491,2078,205,223,91.9,174,188,92.6,70,128,54.7,0,0.3,1.0,-0.3,8,48,9,0,32,Matches
2009,Mateo Barnes,sn SEN,DF,Köln,de Bundesliga,27,1996,6.3,358,440,81.4,6536,2704,164,175,93.7,155,174,89.1,43,91,47.3,0,1.4,1.7,-1.4,3,36,4,0,34,Matches
2010,Mason Byrne,uy URU,DF,Schalke 04,de Bundesliga,28,1995,7.3,361,416,86.8,7348,2583,177,205,86.3,166,204,81.4,3,7,42.9,0,0.0,0.0,0.0,2,34,3,1,49,Matches
2011,João Kowalski,at AUT,"DF,MF",Werder Bremen,de Bundesliga,30,1993,11.2,545,617,88.3,10451,4293,258,282,91.5,184,231,79.7,58,104,55.8,0,0.7,0.5,-0.7,7,82,11,3,49,Matches
2012,Andrés Rossi,nl NED,MF,Union Berlin,de Bundesliga,22,2001,11.6,403,515,78.3,6617,2273,232,234,99.1,243,277,87.7,3,4,75.0,0,1.0,0.3,-1.0,21,19,28,4,33,Matches
2013,Diego Schmidt,be BEL,"MF,FW",Mainz 05,de Bundesliga,27,1996,5.1,212,262,80.9,3899,1764,112,123,91.1,85,97,87.6,29,42,69.0,0,0.0,0.2,0.0,10,22,16,6,24,Matches
2014,Youssef Diallo,ma MAR,"FW,MF",Mainz 05,de Bundesliga,31,1992,4.2,264,303,87.1,5696,1938,117,128,91.4,76,96,79.2,49,79,62.0,0,1.8,1.6,-1.8,3,19,5,2,18,Matches
2015,Diego López,nl NED,DF,Hertha BSC,de Bundesliga,27,1996,4.4,130,170,76.5,2965,1232,82,87,94.3,37,45,82.2,34,38,89.5,0,0.0,0.0,0.0,3,11,3,1,14,Matches
2016,Pedro Moreau,it ITA,MF,Bochum,de Bundesliga,25,1998,7.8,517,578,89.4,7543,2812,230,237,97.0,149,164,90.9,101,177,57.1,1,1.2,1.3,-0.2,6,43,6,0,39,Matches
2017,Sergio Greco,hr CRO,DF,Dortmund,de Bundesliga,20,2003,1.7,30,37,81.1,620,182,19,20,95.0,14,16,87.5,1,1,100.0,0,0.0,0.0,0.0,1,4,2,0,4,Matches
2018,Connor Larsen,rs SRB,"DF,MF",Leverkusen,de Bundesliga,32,1991,2.7,79,87,90.8,1486,686,33,37,89.2,30,33,90.9,14,17,82.4,0,0.0,0.3,0.0,7,5,9,5,9,Matches
2019,Andrés Costa,pl POL,"FW,MF",Union Berlin,de Bundesliga,23,2000,2.4,97,109,89.0,2213,617,50,52,96.2,48,52,92.3,3,5,60.0,0,0.0,0.0,0.0,1,9,1,0,9,Matches
2020,Liam Ferrari,jp JPN,DF,Eint Frankfurt,de Bundesliga,27,1996,13.0,359,421,85.3,5110,1719,175,197,88.8,138,160,86.2,42,64,65.6,0,1.5,1.3,-1.5,4,46,2,2,15,Matches
2021,Julien Barnes,fr FRA,DF,Bayern Munich,de Bundesliga,28,1995,0.3,2,3,66.7,45,19,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2022,Luca Murphy,nl NED,MF,Freiburg,de Bundesliga,30,1993,19.6,1156,1321,87.5,17455,6086,571,611,93.5,674,744,90.6,0,0,,3,2.2,1.9,0.8,15,80,30,0,84,Matches
2023,Takumi Bianchi,eng ENG,FW,Bayern Munich,de Bundesliga,19,2004,2.5,94,119,79.0,2018,642,58,63,92.1,42,49,85.7,5,7,71.4,0,1.1,0.8,-1.1,0,13,0,0,5,Matches
2024,Elias Clarke,pt POR,FW,Leverkusen,de Bundesliga,21,2002,2.0,80,99,80.8,1407,344,39,44,88.6,27,32,84.4,9,23,39.1,0,0.0,0.0,0.0,1,7,2,0,8,Matches
2025,Diego Cissé,br BRA,FW,Wolfsburg,de Bundesliga,26,1997,2.6,42,55,76.4,830,266,24,26,92.3,23,25,92.0,2,4,50.0,0,0.4,0.0,-0.4,2,5,4,1,6,Matches
2026,Stefan Gómez,at AUT,DF,Freiburg,de Bundesliga,28,1995,18.4,746,889,83.9,14617,4826,341,397,85.9,197,234,84.2,142,258,55.0,0,0.0,0.1,0.0,5,76,4,1,77,Matches
2027,Takumi Weber,sn SEN,MF,Stuttgart,de Bundesliga,29,1994,10.1,519,610,85.1,10025,3571,271,294,92.2,184,198,92.9,48,118,40.7,0,0.0,0.0,0.0,1,39,2,0,39,Matches
2028,Felix Kowalski,us USA,DF,Freiburg,de Bundesliga,23,2000,2.8,99,130,76.2,1697,594,63,71,88.7,48,54,88.9,2,5,40.0,0,0.0,0.3,0.0,1,11,2,0,9,Matches
2029,Diego López,ma MAR,MF,Wolfsburg,de Bundesliga,26,1997,21.1,1066,1271,83.9,22434,7067,563,624,90.2,324,359,90.3,204,288,70.8,1,0.6,0.3,0.4,16,117,24,11,107,Matches
2030,Oscar Sánchez,br BRA,"DF,MF",Hoffenheim,de Bundesliga,26,1997,7.7,242,292,82.9,5160,1733,106,135,78.5,84,95,88.4,43,62,69.4,0,1.1,1.2,-1.1,8,28,12,3,19,Matches
2031,Rafael López,ma MAR,MF,RB Leipzig,de Bundesliga,21,2002,7.7,257,322,79.8,5378,1802,125,145,86.2,103,114,90.4,37,63,58.7,1,0.7,0.9,0.3,8,23,10,3,26,Matches
2032,Oscar Wright,hr CRO,MF,Eint Frankfurt,de Bundesliga,28,1995,23.9,1351,1531,88.2,24636,6963,656,707,92.8,514,633,81.2,98,191,51.3,2,1.6,1.3,0.4,32,67,48,17,134,Matches
2033,João Traoré,es ESP,DF,Augsburg,de Bundesliga,31,1992,5.3,211,259,81.5,4120,1339,104,113,92.0,96,113,85.0,17,33,51.5,0,0.0,0.7,0.0,0,12,0,0,13,Matches
2034,Ibrahim Petit,br BRA,MF,Augsburg,de Bundesliga,25,1998,2.4,85,98,86.7,1493,614,43,47,91.5,35,41,85.4,6,10,60.0,0,0.0,0.0,0.0,2,4,1,1,7,Matches
2035,Mateo Girard,pl POL,"FW,MF",Eint Frankfurt,de Bundesliga,26,1997,9.7,372,428,86.9,6104,1550,235,235,100.0,142,171,83.0,12,22,54.5,2,0.8,0.9,1.2,9,37,12,3,22,Matches
2036,Stefan Santos,co COL,"DF,MF",Augsburg,de Bundesliga,27,1996,16.3,563,658,85.6,10963,2659,294,303,97.0,214,256,83.6,69,99,69.7,2,3.3,2.8,-1.3,14,85,23,0,44,Matches
2037,Jonas Ndiaye,nl NED,GK,Werder Bremen,de Bundesliga,27,1996,2.8,127,195,65.1,2749,932,98,102,96.1,68,75,90.7,12,18,66.7,0,0.1,0.8,-0.1,2,12,2,1,6,Matches
2038,Pablo Sánchez,dk DEN,DF,Hertha BSC,de Bundesliga,28,1995,6.3,162,216,75.0,3216,1090,76,85,89.4,68,84,81.0,28,47,59.6,0,0.3,0.3,-0.3,1,17,1,1,14,Matches
2039,Thomas Conti,de GER,DF,Augsburg,de Bundesliga,28,1995,9.6,310,400,77.5,6197,3089,186,196,94.9,147,169,87.0,18,35,51.4,1,1.1,0.7,-0.1,13,22,20,0,32,Matches
2040,Yusuf Hughes,hr CRO,DF,Bochum,de Bundesliga,32,1991,19.9,605,794,76.2,13103,4163,393,432,91.0,325,379,85.8,0,0,,0,0.3,0.1,-0.3,2,37,2,0,60,Matches
2041,Oscar Kovač,es ESP,MF,Freiburg,de Bundesliga,22,2001,7.7,405,476,85.1,8133,3609,240,252,95.2,177,194,91.2,19,30,63.3,3,3.1,2.7,-0.1,16,25,29,5,18,Matches
2042,Felix Rizzo,pl POL,FW,Mainz 05,de Bundesliga,19,2004,18.9,360,473,76.1,6858,3419,208,227,91.6,209,227,92.1,11,19,57.9,1,3.3,4.1,-2.3,5,31,5,3,41,Matches
2043,Stefan Nowak,at AUT,"MF,DF",Hoffenheim,de Bundesliga,22,2001,3.1,155,163,95.1,2785,1154,77,86,89.5,70,78,89.7,0,0,,0,1.2,1.1,-1.2,2,12,5,0,16,Matches
2044,Daniel El Amrani,sn SEN,MF,Dortmund,de Bundesliga,24,1999,14.6,483,625,77.3,10172,2427,237,269,88.1,174,207,84.1,98,149,65.8,1,1.4,1.0,-0.4,17,42,22,7,5,Matches
2045,Andrés Cissé,es ESP,GK,Hoffenheim,de Bundesliga,24,1999,2.2,121,161,75.2,2280,828,73,74,98.6,41,45,91.1,31,42,73.8,0,0.0,0.0,0.0,1,20,1,0,8,Matches
2046,Jonas Martínez,pt POR,DF,Werder Bremen,de Bundesliga,21,2002,3.0,147,167,88.0,3070,952,73,77,94.8,48,56,85.7,17,34,50.0,0,0.0,0.9,0.0,1,18,1,0,10,Matches
2047,Erik Nowak,eng ENG,GK,Köln,de Bundesliga,22,2001,12.2,505,805,62.7,10401,3565,347,419,82.8,212,268,79.1,77,118,65.3,0,0.3,0.0,-0.3,1,33,2,0,47,Matches
2048,Takumi Barnes,be BEL,MF,Stuttgart,de Bundesliga,27,1996,1.0,43,51,84.3,694,257,23,23,100.0,13,15,86.7,7,13,53.8,0,0.1,0.5,-0.1,2,5,2,1,1,Matches
2049,Théo Tanaka,co COL,"FW,MF",Köln,de Bundesliga,24,1999,8.3,543,659,82.4,11074,5188,263,289,91.0,150,186,80.6,92,184,50.0,1,0.9,0.8,0.1,19,62,19,7,54,Matches
2050,Kevin Novak,br BRA,"MF,DF",Schalke 04,de Bundesliga,26,1997,6.1,381,430,88.6,7518,2100,193,194,99.5,130,144,90.3,44,92,47.8,0,0.0,0.0,0.0,5,40,7,0,33,Matches
2051,David Petit,sn SEN,"FW,MF",Augsburg,de Bundesliga,26,1997,4.3,118,147,80.3,1893,990,53,62,85.5,40,50,80.0,18,35,51.4,0,0.0,0.0,0.0,6,1,5,1,18,Matches
2052,Maxime Tanaka,fr FRA,"MF,DF",Stuttgart,de Bundesliga,28,1995,8.4,486,554,87.7,8848,1892,276,292,94.5,182,210,86.7,33,52,63.5,0,2.6,2.3,-2.6,3,56,3,1,32,Matches
2053,Iker Novak,us USA,"MF,FW",Augsburg,de Bundesliga,30,1993,1.7,131,145,90.3,2792,603,61,71,85.9,41,47,87.2,13,27,48.1,0,1.3,1.9,-1.3,0,12,0,0,17,Matches
2054,Milan Benali,us USA,FW,Hertha BSC,de Bundesliga,27,1996,1.8,45,57,78.9,943,300,24,25,96.0,18,21,85.7,7,11,63.6,0,0.0,0.0,0.0,0,4,0,0,3,Matches
2055,Callum Andersson,it ITA,MF,Mainz 05,de Bundesliga,27,1996,16.1,590,751,78.6,10632,4095,409,409,100.0,269,277,97.1,37,65,56.9,1,0.5,0.5,0.5,16,76,21,8,76,Matches
2056,Oscar Silva,no NOR,DF,Augsburg,de Bundesliga,18,2005,2.5,88,115,76.5,1612,570,59,63,93.7,36,42,85.7,4,10,40.0,1,0.4,0.1,0.6,1,11,1,0,5,Matches
2057,Yusuf Ndiaye,pl POL,GK,Hoffenheim,de Bundesliga,20,2003,2.9,151,222,68.0,2562,579,103,112,92.0,78,96,81.2,10,14,71.4,0,0.1,0.3,-0.1,6,18,8,3,5,Matches
2058,Sota Moreau,dk DEN,FW,Bochum,de Bundesliga,24,1999,18.2,613,725,84.6,10072,2365,291,315,92.4,212,235,90.2,103,175,58.9,1,2.3,2.0,-1.3,9,87,11,6,67,Matches
2059,Ibrahim Dubois,ch SUI,"DF,MF",Augsburg,de Bundesliga,21,2002,0.3,15,19,78.9,333,112,9,10,90.0,7,7,100.0,1,2,50.0,0,0.5,1.0,-0.5,0,1,0,0,1,Matches
2060,Iker Berg,eng ENG,MF,M'Gladbach,de Bundesliga,33,1990,1.5,49,54,90.7,826,337,24,26,92.3,17,21,81.0,4,7,57.1,0,0.0,0.7,0.0,2,6,4,1,6,Matches
2061,Mateo Byrne,br BRA,FW,Wolfsburg,de Bundesliga,29,1994,0.8,36,43,83.7,636,318,18,19,94.7,14,16,87.5,4,8,50.0,0,0.0,0.1,0.0,0,3,0,0,1,Matches
2062,Stefan Conti,eng ENG,MF,RB Leipzig,de Bundesliga,28,1995,13.1,520,692,75.1,10489,4197,261,292,89.4,237,275,86.2,76,125,60.8,3,4.6,5.0,-1.6,28,51,18,1,27,Matches
2063,Andrés Kowalski,it ITA,"MF,FW",Wolfsburg,de Bundesliga,22,2001,11.1,381,447,85.2,8481,2770,169,169,100.0,134,162,82.7,72,116,62.1,1,0.8,0.5,0.2,13,44,17,3,37,Matches
2064,Stefan Sánchez,ar ARG,MF,Wolfsburg,de Bundesliga,30,1993,6.6,396,482,82.2,8301,1983,193,202,95.5,130,150,86.7,72,130,55.4,0,0.0,0.0,0.0,4,32,5,1,49,Matches
2065,Yusuf Cissé,us USA,MF,Hertha BSC,de Bundesliga,22,2001,9.0,364,446,81.6,7887,2205,183,202,90.6,203,207,98.1,21,37,56.8,0,0.0,0.0,0.0,11,39,19,6,36,Matches
2066,Antoine Müller,at AUT,GK,RB Leipzig,de Bundesliga,25,1998,9.3,404,598,67.6,8283,2879,290,305,95.1,243,268,90.7,12,25,48.0,1,1.6,2.0,-0.6,4,21,7,1,36,Matches
2067,Andrés Doyle,at AUT,MF,Bayern Munich,de Bundesliga,25,1998,1.3,79,99,79.8,1368,397,41,45,91.1,36,40,90.0,7,14,50.0,0,0.0,0.7,0.0,1,10,2,0,8,Matches
2068,Yusuf Nowak,nl NED,FW,Dortmund,de Bundesliga,23,2000,3.3,96,133,72.2,1967,611,69,75,92.0,51,56,91.1,1,2,50.0,0,0.0,0.0,0.0,0,11,0,0,5,Matches
2069,Sergio Nielsen,es ESP,DF,Union Berlin,de Bundesliga,35,1988,7.1,300,393,76.3,5694,1942,188,204,92.2,151,181,83.4,6,8,75.0,1,0.0,0.6,1.0,8,30,11,3,21,Matches
2070,Pedro Hansen,be BEL,"DF,FW",Augsburg,de Bundesliga,26,1997,11.0,304,387,78.6,4215,1984,185,196,94.4,140,153,91.5,22,38,57.9,0,1.5,1.3,-1.5,14,20,19,6,28,Matches
2071,Callum Gómez,ar ARG,GK,Hoffenheim,de Bundesliga,17,2006,10.4,622,825,75.4,11241,3375,381,415,91.8,312,368,84.8,25,42,59.5,0,0.0,0.0,0.0,4,58,3,2,64,Matches
2072,Kevin Costa,dk DEN,DF,Bayern Munich,de Bundesliga,27,1996,6.1,224,259,86.5,4923,2301,138,143,96.5,99,122,81.1,0,0,,0,0.5,0.4,-0.5,3,26,5,1,29,Matches
2073,Nicolas Yamamoto,br BRA,"DF,MF",Bayern Munich,de Bundesliga,19,2004,2.0,70,82,85.4,1402,351,34,39,87.2,30,36,83.3,5,7,71.4,0,0.0,0.0,0.0,1,6,1,0,6,Matches
2074,Oscar Wagner,ch SUI,DF,Eint Frankfurt,de Bundesliga,25,1998,6.1,274,325,84.3,5505,1923,140,152,92.1,133,144,92.4,19,29,65.5,0,0.4,0.0,-0.4,3,33,5,1,25,Matches
2075,João Weber,hr CRO,DF,Dortmund,de Bundesliga,26,1997,10.0,305,394,77.4,5825,2752,169,183,92.3,147,178,82.6,17,33,51.5,1,2.5,2.2,-1.5,4,27,7,3,30,Matches
2076,Diego Larsen,sn SEN,MF,Freiburg,de Bundesliga,25,1998,2.3,94,105,89.5,1796,788,52,57,91.2,40,49,81.6,0,0,,0,1.8,2.2,-1.8,2,7,4,0,9,Matches
2077,Thomas Lindqvist,pl POL,"DF,MF",Leverkusen,de Bundesliga,25,1998,17.7,984,1185,83.0,19770,6437,445,456,97.6,335,395,84.8,168,334,50.3,0,1.0,1.8,-1.0,9,113,8,3,105,Matches
2078,Omar Kowalski,be BEL,DF,Hertha BSC,de Bundesliga,25,1998,6.2,302,348,86.8,4471,1259,124,133,93.2,141,160,88.1,35,55,63.6,0,0.0,0.1,0.0,0,32,0,0,16,Matches
2079,Sota Hughes,fr FRA,FW,M'Gladbach,de Bundesliga,19,2004,6.3,337,409,82.4,6767,1904,160,186,86.0,161,181,89.0,25,42,59.5,0,0.0,0.9,0.0,5,39,9,4,24,Matches
2080,Takumi Greco,it ITA,MF,Wolfsburg,de Bundesliga,20,2003,3.3,136,181,75.1,3183,1529,81,88,92.0,75,85,88.2,5,8,62.5,0,1.0,0.9,-1.0,1,23,1,1,8,Matches
2081,Rafael Gómez,sn SEN,"MF,DF",Udinese,it Serie A,20,2003,14.5,553,564,98.0,12793,4560,252,277,91.0,213,246,86.6,25,41,61.0,0,1.7,1.5,-1.7,3,64,3,2,55,Matches
2082,Oscar Traoré,ch SUI,MF,Milan,it Serie A,17,2006,19.8,1269,1364,93.0,19405,6736,597,682,87.5,415,474,87.6,130,208,62.5,1,0.2,0.8,0.8,26,160,37,0,35,Matches
2083,Julien Hansen,rs SRB,DF,Torino,it Serie A,29,1994,5.9,328,408,80.4,5787,1800,165,183,90.2,144,144,100.0,50,81,61.7,0,0.0,0.6,0.0,3,39,3,1,25,Matches
2084,Pablo Lindqvist,dk DEN,DF,Bologna,it Serie A,25,1998,3.6,128,137,93.4,1935,471,47,53,88.7,46,53,86.8,18,31,58.1,0,0.0,0.0,0.0,1,9,2,0,17,Matches
2085,Hugo Berg,rs SRB,GK,Hellas Verona,it Serie A,24,1999,10.8,464,724,64.1,9170,2954,265,285,93.0,242,277,87.4,113,162,69.8,0,1.5,2.0,-1.5,3,60,2,0,33,Matches
2086,Elias Kowalski,us USA,"DF,MF",Roma,it Serie A,23,2000,9.3,388,471,82.4,7035,2802,210,232,90.5,119,161,73.9,40,78,51.3,0,1.2,1.2,-1.2,2,32,3,1,43,Matches
2087,Liam Horvat,de GER,MF,Empoli,it Serie A,19,2004,7.9,511,618,82.7,11550,4638,263,300,87.7,167,182,91.8,74,136,54.4,0,0.2,0.6,-0.2,11,28,11,3,29,Matches
2088,Jonas Martínez,fr FRA,"MF,DF",Monza,it Serie A,21,2002,8.4,433,578,74.9,9561,4112,231,246,93.9,163,184,88.6,66,148,44.6,3,0.9,0.5,2.1,15,47,17,8,12,Matches
2089,Adam Moreau,uy URU,DF,Spezia,it Serie A,27,1996,11.5,434,545,79.6,8338,3102,225,242,93.0,227,256,88.7,28,47,59.6,0,0.2,0.7,-0.2,6,54,7,4,30,Matches
2090,Hugo Ferrari,dk DEN,DF,Juventus,it Serie A,23,2000,2.0,85,102,83.3,1204,545,37,39,94.9,36,46,78.3,9,17,52.9,0,1.0,1.2,-1.0,4,12,8,2,10,Matches
2091,Théo Murphy,nl NED,FW,Atalanta,it Serie A,22,2001,4.8,164,194,84.5,2697,840,83,94,88.3,50,58,86.2,19,42,45.2,0,0.0,0.0,0.0,5,12,7,1,20,Matches
2092,Sota Conti,hr CRO,GK,Inter,it Serie A,36,1987,15.1,813,1036,78.5,12523,4008,422,460,91.7,360,426,84.5,79,150,52.7,2,0.1,0.0,1.9,27,58,39,8,48,Matches
2093,Elias Laurent,ch SUI,"MF,FW",Sampdoria,it Serie A,31,1992,14.4,488,626,78.0,9970,2364,250,263,95.1,202,232,87.1,99,131,75.6,0,0.0,0.0,0.0,3,37,4,1,37,Matches
2094,Andrés Benali,be BEL,"MF,DF",Fiorentina,it Serie A,18,2005,2.9,128,149,85.9,2435,581,61,69,88.4,56,65,86.2,10,15,66.7,0,2.2,2.0,-2.2,6,10,11,4,12,Matches
2095,Stefan Barnes,us USA,MF,Lazio,it Serie A,30,1993,2.5,128,155,82.6,2301,823,79,87,90.8,43,51,84.3,11,17,64.7,0,0.0,0.5,0.0,2,8,3,1,12,Matches
2096,Owen Traoré,no NOR,FW,Inter,it Serie A,18,2005,19.1,441,562,78.5,8985,3523,205,233,88.0,154,154,100.0,143,175,81.7,0,0.0,0.9,0.0,9,57,8,2,24,Matches
2097,Mateo Andersson,uy URU,MF,Cremonese,it Serie A,29,1994,14.6,895,1071,83.6,14878,5223,441,466,94.6,262,313,83.7,144,292,49.3,1,0.2,0.1,0.8,10,84,15,5,36,Matches
2098,Nuno Byrne,se SWE,DF,Empoli,it Serie A,20,2003,11.1,221,287,77.0,4718,969,103,115,89.6,117,126,92.9,25,46,54.3,1,2.3,2.1,-1.3,4,21,3,0,29,Matches
2099,Milan Conti,se SWE,"DF,FW",Torino,it Serie A,21,2002,2.4,101,149,67.8,1934,890,48,54,88.9,52,65,80.0,19,30,63.3,0,0.3,0.0,-0.3,1,8,2,0,13,Matches
2100,Stefan Hoffmann,pl POL,FW,Sassuolo,it Serie A,22,2001,12.2,451,565,79.8,7801,2575,268,278,96.4,172,208,82.7,42,79,53.2,0,1.6,1.0,-1.6,9,26,6,3,45,Matches
2101,Iker Wagner,us USA,MF,Torino,it Serie A,17,2006,7.5,378,421,89.8,6833,2336,188,205,91.7,119,131,90.8,51,85,60.0,0,1.1,0.5,-1.1,8,28,14,3,33,Matches
2102,Rafael Laurent,fr FRA,DF,Sassuolo,it Serie A,30,1993,7.9,210,261,80.5,3767,870,112,132,84.8,75,88,85.2,26,41,63.4,0,0.8,0.8,-0.8,5,27,7,3,28,Matches
2103,Ryan Walsh,co COL,MF,Inter,it Serie A,25,1998,0.8,29,37,78.4,538,223,15,17,88.2,12,14,85.7,4,6,66.7,0,0.0,0.6,0.0,1,2,1,0,1,Matches
2104,Leo Bakker,jp JPN,"DF,MF",Hellas Verona,it Serie A,25,1998,10.5,519,621,83.6,11571,2802,274,314,87.3,163,188,86.7,80,119,67.2,1,2.2,2.4,-1.2,20,34,18,13,59,Matches
2105,Jonas Ferrari,es ESP,GK,Sampdoria,it Serie A,28,1995,8.1,295,509,58.0,6747,1744,248,264,93.9,151,170,88.8,44,75,58.7,0,0.2,0.0,-0.2,6,68,5,0,26,Matches
2106,Oscar Doyle,br BRA,FW,Inter,it Serie A,19,2004,7.9,231,316,73.1,5010,1664,161,168,95.8,85,97,87.6,31,51,60.8,0,0.0,0.2,0.0,1,23,2,0,15,Matches
2107,Milan Martínez,eng ENG,FW,Bologna,it Serie A,30,1993,4.4,163,211,77.3,3720,983,99,112,88.4,68,77,88.3,13,22,59.1,1,0.0,0.0,1.0,3,25,3,0,13,Matches
2108,Stefan Novak,de GER,MF,Lazio,it Serie A,22,2001,14.9,827,968,85.4,15188,5651,396,464,85.3,317,421,75.3,51,83,61.4,0,0.0,0.6,0.0,11,94,19,4,107,Matches
2109,Ryan Petit,eng ENG,FW,Empoli,it Serie A,26,1997,15.6,203,280,72.5,4479,1708,127,143,88.8,79,90,87.8,30,47,63.8,0,2.3,2.1,-2.3,10,29,9,6,27,Matches
2110,Nuno Gómez,ch SUI,FW,Lazio,it Serie A,21,2002,10.9,396,555,71.4,7762,2248,248,269,92.2,228,272,83.8,7,14,50.0,0,0.5,0.7,-0.5,1,58,1,0,44,Matches
2111,Ibrahim Rossi,ar ARG,FW,Spezia,it Serie A,23,2000,14.2,468,602,77.7,7530,2711,272,279,97.5,180,214,84.1,45,109,41.3,1,0.9,1.3,0.1,7,69,12,0,36,Matches
2112,Callum Laurent,sn SEN,MF,Hellas Verona,it Serie A,26,1997,10.1,502,613,81.9,10332,3451,204,231,88.3,199,227,87.7,58,155,37.4,1,0.7,0.2,0.3,6,3,9,4,29,Matches
2113,Yusuf Martínez,hr CRO,"MF,DF",Udinese,it Serie A,29,1994,1.8,71,80,88.8,1512,384,45,47,95.7,31,35,88.6,0,0,,0,0.0,0.6,0.0,1,6,2,1,12,Matches
2114,Sota Martínez,pl POL,DF,Sassuolo,it Serie A,26,1997,2.0,44,60,73.3,900,268,20,23,87.0,20,23,87.0,7,14,50.0,0,0.0,0.0,0.0,2,2,3,1,0,Matches
2115,Omar Girard,hr CRO,"DF,FW",Roma,it Serie A,33,1990,5.9,163,204,79.9,2631,1012,81,87,93.1,63,76,82.9,15,41,36.6,0,0.0,0.0,0.0,8,17,15,4,13,Matches
2116,Mason Hoffmann,se SWE,FW,Sampdoria,it Serie A,30,1993,15.6,610,754,80.9,12628,1962,381,400,95.2,302,347,87.0,5,7,71.4,1,2.3,2.1,-1.3,8,65,9,2,54,Matches
2117,Antoine Schmidt,co COL,DF,Empoli,it Serie A,27,1996,5.2,194,229,84.7,3947,1055,80,89,89.9,44,62,71.0,29,78,37.2,1,1.3,1.3,-0.3,3,19,5,2,24,Matches
2118,Omar Girard,uy URU,DF,Udinese,it Serie A,19,2004,6.0,196,258,76.0,3963,1449,116,120,96.7,91,99,91.9,21,39,53.8,0,2.6,2.9,-2.6,5,29,7,0,16,Matches
2119,Callum Nielsen,es ESP,MF,Lecce,it Serie A,22,2001,28.4,699,812,86.1,15198,5022,339,359,94.4,276,324,85.2,75,129,58.1,5,6.5,6.9,-1.5,29,32,49,5,45,Matches
2120,Karim Schmidt,rs SRB,GK,Lecce,it Serie A,23,2000,1.3,55,83,66.3,1166,417,29,29,100.0,38,43,88.4,5,11,45.5,0,0.0,0.0,0.0,0,4,0,0,2,Matches
2121,Diego Girard,jp JPN,GK,Cremonese,it Serie A,35,1988,15.4,678,983,69.0,14513,3432,431,475,90.7,324,357,90.8,128,151,84.8,1,0.9,1.1,0.1,7,68,11,4,82,Matches
2122,Anton El Amrani,co COL,"MF,FW",Empoli,it Serie A,31,1992,16.3,641,750,85.5,13667,4804,303,324,93.5,225,269,83.6,91,157,58.0,0,0.0,0.2,0.0,2,53,4,1,45,Matches
2123,Maxime Bakker,us USA,DF,Udinese,it Serie A,23,2000,36.0,867,1017,85.3,19818,7219,411,445,92.4,321,404,79.5,53,168,31.5,2,2.2,2.3,-0.2,19,111,15,13,99,Matches
2124,Karim Hoffmann,it ITA,GK,Torino,it Serie A,21,2002,4.0,152,206,73.8,2529,960,90,99,90.9,56,66,84.8,22,41,53.7,2,2.8,2.6,-0.8,1,20,2,0,21,Matches
2125,Julien Bianchi,uy URU,DF,Atalanta,it Serie A,20,2003,13.6,391,522,74.9,7628,2644,165,184,89.7,148,164,90.2,89,174,51.1,1,3.4,3.4,-2.4,6,25,7,3,18,Matches
